"","Cancer Site","Year","Tumour Type","Age","Region","Gender","Deprivation","Ethnicity - White","Ethnicity - Asian excl Chinese","Ethnicity - Black","Ethnicity - Chinese","Ethnicity - Mixed","Ethnicity - Other","Ethnicity - Unknown","Deprivation quintile 1 - most deprived","Deprivation quintile 2","Deprivation quintile 3","Deprivation quintile 4","Deprivation quintile 5 - least deprived","Death Certificate Only","Kaplan-Meier survival 36m"
"1","Skin tumours","2013","Skin cancer","All","All England","Female","All",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".j"
"2","Skin tumours","2013","Skin cancer","All","All England","Male","All",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".j"
"3","Skin tumours","2013","Skin cancer","Age 00-24","All England","Female","All","32","0","1","0","0","0","36","13","14","13","14","15","0","100"
"4","Skin tumours","2013","Skin cancer","Age 00-24","All England","Male","All","30","1","0","0","0","1","30","9","5","12","14","22","0","100"
"5","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","48","0","0","0","0","0","29","4","8","18","20","27","0","100"
"6","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","75","0","0","0","0","0","35","9","18","23","27","33","0","97.2"
"7","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","50","0","1","0","0","0","43","11","15","23","24","21","0","98.9"
"8","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","58","1","0","0","0","0","59","15","17","21","37","28","0","100"
"9","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","41","0","0","1","0","0","35","17","14","10","19","17","0","98.7"
"10","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","47","0","0","0","0","0","51","19","15","20","23","21","0","100"
"11","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","41","0","0","0","0","0","33","16","21","8","11","18","0","100"
"12","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","45","0","0","0","0","0","48","24","13","18","19","19","0","100"
"13","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","55","0","0","0","0","1","48","7","12","17","29","39","0","100"
"14","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","62","0","0","0","0","0","69","6","9","25","43","48","0","99.2"
"15","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","43","0","0","0","0","1","23","8","8","16","21","14","0","100"
"16","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","64","0","0","0","0","1","30","6","12","27","29","21","0","100"
"17","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","66","0","0","0","0","0","17","5","13","17","25","23","0","97.6"
"18","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","89","0","0","0","0","2","33","9","21","27","30","37","0","98.4"
